"shop_id","domain_url","domain_registration_date","is_young_domain","contact_email","logo_url","legitimate"
"37","https://www.genzfshop.com","2023-06-23 05:43:00","1","0","0","0"
"38","https://nelly.com","1997-06-25 04:00:00","0","2","1","1"
"39","https://www.b2bglobalchemicalmerchandise.co.za","2022-10-22 00:00:00","1","2","1","0"
"40","https://greenesshoes.com","2010-05-02 18:35:00","0","2","1","1"
"41","https://www.handlebarneu.com","2023-04-11 02:42:00","1","0","0","0"
"42","https://www.mandmdirect.com","2005-07-08 13:05:00","0","0","1","1"
"43","https://bestgenericpills24.com","2022-05-11 08:18:00","0","0","1","0"
"44","https://hattshoppen.se","2019-04-28 00:00:00","0","2","1","1"
"45","https://homefocus.ie","2005-09-25 00:00:00","0","0","1","1"
"46","https://www.marksandspencer.com","1998-03-17 05:00:00","0","1","1","1"
"47","https://reklamospasaulis.lt","2021-08-27 00:00:00","0","2","1","1"
"48","https://egarazas.lt","2012-11-14 00:00:00","0","2","1","1"
"49","https://www.formulierengigant.nl","2010-01-19 00:00:00","0","2","1","1"
